LEVEL,Div Num,Div Name,Sch Num,Sch Name,Sch Type,Low Grade,High Grade,Subject,Grade,Test,2018-2019 Pass Rate,2019-2020 Pass Rate,2020-2021 Pass Rate,2018-2019 Adv Pass Rate,2019-2020 Adv Pass Rate,2020-2021 Adv Pass Rate,address,latitude,longitude,geoid
SCH,7.0,Arlington County,100.0,Glebe Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,87,,84,42,,20,Glebe Elementary Arlington County,38.892637,-77.12128,5100270
SCH,7.0,Arlington County,614.0,Hoffman-Boston Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,68,,53,14,,10,Hoffman-Boston Elementary Arlington County,38.8615563,-77.0712021,5100270
SCH,7.0,Arlington County,613.0,Innovation Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,93,,86,37,,27,Innovation Elementary Arlington County,38.89253,-77.0869429,5100270
SCH,7.0,Arlington County,440.0,Jamestown Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,93,,87,37,,24,Jamestown Elementary Arlington County,38.9171087,-77.1397115,5100270
SCH,7.0,Arlington County,460.0,Long Branch Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,86,,77,34,,21,Long Branch Elementary Arlington County,38.8749325,-77.0895643,5100270
SCH,7.0,Arlington County,627.0,Montessori Public School of Arlington,Elem,PK,5.0,English: Reading,Gr 3,English Reading,,,68,,,19,Montessori Public School of Arlington Arlington County,38.8659095,-77.0893137,5100270
SCH,7.0,Arlington County,410.0,Nottingham Elementary,Elem,KG,5.0,English: Reading,Gr 3,English Reading,91,,87,35,,29,Nottingham Elementary Arlington County,38.9003391,-77.1507514,5100270
SCH,7.0,Arlington County,360.0,Oakridge Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,76,,67,12,,18,Oakridge Elementary Arlington County,38.8504041,-77.0702406,5100270
SCH,7.0,Arlington County,510.0,Randolph Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,60,,48,16,,8,Randolph Elementary Arlington County,38.8563469,-77.0979582,5100270
SCH,7.0,Arlington County,420.0,Taylor Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,93,,88,41,,19,Taylor Elementary Arlington County,38.906625,-77.1136075,5100270
SCH,7.0,Arlington County,211.0,Tuckahoe Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,95,,78,38,,20,Tuckahoe Elementary Arlington County,38.892546,-77.159356,5100270
SCH,8.0,Augusta County,30.0,Cassell Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,68,,61,18,,4,Cassell Elementary Augusta County,38.1307858,-78.8710143,5100270
SCH,8.0,Augusta County,140.0,Churchville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,73,,63,10,,5,Churchville Elementary Augusta County,38.22249,-79.1600562,5100270
SCH,8.0,Augusta County,370.0,Craigsville Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,63,,19,6,,0,Craigsville Elementary Augusta County,38.0820361,-79.3807154,5100270
SCH,8.0,Augusta County,842.0,Edward G. Clymore Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,62,,61,18,,6,Edward G. Clymore Elementary Augusta County,38.2460771,-78.9769293,5100270
SCH,8.0,Augusta County,843.0,Guy K. Stump Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,66,,57,15,,6,Guy K. Stump Elementary Augusta County,38.0299488,-79.0349299,5100270
SCH,8.0,Augusta County,40.0,North River Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,60,,60,11,,4,North River Elementary Augusta County,38.3147641,-79.0790887,5100270
SCH,8.0,Augusta County,740.0,Riverheads Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,74,,75,23,,12,Riverheads Elementary Augusta County,38.0361053,-79.1408086,5100270
SCH,8.0,Augusta County,440.0,Stuarts Draft Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,62,,62,16,,6,Stuarts Draft Elementary Augusta County,38.0470892,-79.0080547,5100270
SCH,8.0,Augusta County,640.0,Wilson Elementary,Elem,PK,5.0,English: Reading,Gr 3,English Reading,64,,56,18,,6,Wilson Elementary Augusta County,38.1140247,-78.9905805,5100270
SCH,9.0,Bath County,120.0,Millboro Elementary,Elem,PK,7.0,English: Reading,Gr 3,English Reading,95,,46,33,,8,Millboro Elementary Bath County,37.9774448,-79.6064783,5100270
